month,day,names
5,7,August;Benedykt;Domicela;Domicjan;Domicjana;Flawia;Florian;Gizela
5,8,Achacjusz;Achacy;Amat;Dezyderia;Heladiusz;Ida;Kornel;Liza
5,9,Beat;Bożydar;Grzegorz;Hiob;Karol;Karolina;Katarzyna;Mikołaj
5,10,Antoni;Antonin;Antonina;Beatrycze;Blanda;Blandyna;Chociesław;Chocsław
5,11,Adalbert;Benedykt;Filip;Franciszek;Gwalbert;Iga;Ignacy;Jakub
5,12,Achiles;Dalibor;Domiacjan;Domicela;Domicjan;Domicjana;Dominik;Epifani
5,13,Aaron;Agnieszka;Ananiasz;Andrzej;Aron;Bronisąd;Ciechosław;Dobiesława
5,14,Ampeliusz;Bonifacy;Dobiesław;Domawuj;Esmeralda;Fenenna;Izydor;Jeremiasz
5,15,Atanazy;Beata;Berta;Cecyliusz;Czcibora;Czcisław;Dionizja;Dionizy
5,16,Adam;Aleksander;Andrzej;Fidol;Germeriusz;Honorat;Jan;Jędrzej
5,17,Bruno;Brunon;Herakliusz;Montan;Paschalis;Sławomierz;Sławomir;Wera
5,18,Aleksander;Aleksandra;Alicja;Edwin;Eryk;Feliks;Jan;Klaudia
5,19,Augustyn;Bernarda;Celestyn;Celestyna;Iwo;Iwona;Kryspin;Mikołaj
5,20,Aleksander;Anastazy;Asteriusz;Bazyli;Bernard;Bernardyn;Bronimir;Iwo
5,21,Jan;Kryspin;Krzysztof;Monika;Petronia;Piotr;Przecława;Przedsława
5,22,Emil;Helena;Jan;Julia;Krzesisława;Maron;Rita;Roma
5,23,Budziwoj;Dezyderiusz;Dezydery;Emilia;Eufrozyna;Iwona;Jan;Leoncjusz
5,24,Agrypin;Cieszysława;Dawid;Jan;Joanna;Maria;Milena;Natan
5,25,Beda;Borys;Borysław;Grzegorz;Imisława;Leon;Leona;Magda
5,26,Adalwin;Adalwina;Alwin;Alwina;Angelika;Ariusz;Emil;Ewelina
5,27,Amanda;Augustyn;Fryderyk;Jan;Julian;Juliusz;Lucjan;Magdalena
5,28,Augustyn;Elwira;Emil;Emilia;German;Heladiusz;Ignacy;Inga
5,29,Benita;Bogusława;Ermentruda;Magdalena;Maksym;Maksymilian;Maksymin;Maksymina
5,30,Andronik;Bazyli;Feliks;Feliksa;Ferdynand;Ferdynanda;Gryzelda;Jan
5,31,Angelika;Aniela;Bożysława;Ernestyna;Ewelina;Feliks;Kamila;Kancjan
6,1,Aida;Alfons;Angelina;Babierad;Bernard;Eunika;Felin;Felina
6,2,Aleksandra;Blandyna;Domna;Efrem;Erazm;Eugeniusz;Floriana;Florianna
6,3,Anatol;Cecyliusz;Ferdynand;Karol;Kewin;Klotylda;Konstantyn;Laurenty
6,4,Aleksander;Braturad;Christa;Dacjan;Dacjusz;Delia;Dora;Doris
6,5,Bonifacja;Bonifacy;Dobrociech;Dobromir;Droteusz;Hildebrand;Hildebranda;Igor
6,6,Artemia;Artemiusz;Benignus;Dominika;Doroteusz;Filip;Filipa;Gerard
6,7,Anna;Antoni;Ariadna;Ciechan;Ciechomir;Hadriana;Hieronim;Jarosław
6,8,Ada;Adela;Dalia;Dobrociech;Herakliusz;Maksym;Maksymin;Maksymina
6,9,Anna;Anna-Maria;Dominik;Erfrem;Felicjan;Lukrecjusz;Niemsta;Norman
6,10,Apollo;Bogumił;Bogumiła;Diana;Edgar;Ingolf;Małgorzata;Mauryn
6,11,Adelajda;Anastazy;Barnaba;Benedykt;Feliks;Flora;Radomił;Róża
6,12,Andrzej;Antonina;Celestyna;Ewa;Gwidon;Jan;Janina;Jarogniew
6,13,Antoni;Antonina;Armand;Bogna;Chocian;Chociemir;Fortunat;Gerard
6,14,Bazyli;Eliza;Elza;Justyn;Justyna;Michał;Ninogniew;Rufin
6,15,Abraham;Alojzy;Angelina;Bernard;Bernarda;Długosz;Dula;Edburga
6,16,Alena;Alina;Andrzej;Aneta;Aubert;Aureusz;Barnaba;Benon
6,17,Adolf;Adrianna;Albert;Awit;Awita;Drogomysł;Franciszek;Grzegorz
6,18,Amand;Amanda;Armanda;Drohobysz;Efrem;Elżbieta;Emil;Gerwazy
6,19,Borzysław;Eurydyka;Gerwazy;Grymilda;Juliana;Julianna;Michalina;Odo
6,20,Bogna;Bogumiła;Bożena;Edburga;Florentyn;Florentyna;Franciszek;Gemma
6,21,Alicja;Alojza;Alojzy;Andrzej;Chloe;Demetria;Domamir;Lutfryd
6,22,Achacjusz;Achacy;Agenor;Alban;Albin;Albina;Broniwoj;Eberhard
6,23,Agrypina;Albin;Anna;Dobrowieść;Edeltruda;Józef;Lolita;Piotr
6,24,Ciecienieg;Dana;Danuta;Emilia;Jan;Janina;Janisław;Janisława
6,25,Albrecht;Antyd;Aurelia;Dorota;Eulogiusz;Febron;Febronia;Fiebrosław
6,26,Dawid;Edburga;Jan;Jeremi;Jeremiasz;Maksanty;Maksencjusz;Miromir
6,27,Boguwola;Bożydar;Cyprian;Cyryl;Emanuela;Maria;Maryla;Władysław
6,28,Armin;Benigna;Benita;Ekard;Ekhard;Florentyna;Heron;Ireneusz
6,29,Benedykta;Benita;Dalebor;Dawid;Iwetta;Kasjusz;Paweł;Piotr
6,30,Arnold;Bazyli;Ciechosława;Ciechosłwa;Cyryl;Donat;Emilia;Emiliana
7,1,Aaron;Bogusław;Bogusz;Domicjan;Domicjana;Ekhard;Estera;Gaweł
7,2,Bernardyn;Bożydar;Jagoda;Juda;Juwenalis;Karina;Maria;Martynian
7,3,Anatol;Anatola;Heliodor;Hiacynt;Jacek;Leon;Leona;Milan
7,4,Aggeusz;Alfred;Aurelia;Aurelian;Berta;Elżbieta;Halszka;Innocenty
7,5,Antoni;Atanazy;Bartłomiej;Cyryla;Filomena;Jakub;Karolina;Lotta
7,6,Agripina;Agrypina;Chociebor;Dominik;Dominika;Gotard;Gotarda;Ignacja
7,7,Adolfina;Antoni;Apoloniusz;Benedykt;Cyryl;Ernesta;Estera;Ewald
7,8,Adolf;Adolfa;Adrian;Adrianna;Arnold;Chwalimir;Edgar;Elżbieta
7,9,Adolfina;Adrian;Adriana;Anatola;Anatolia;Antoni;Barbara;Floriana
7,10,Aleksander;Alma;Amalberga;Amalia;Amelia;Aniela;Askaniusz;Engelbert
7,11,Benedykt;Cyprian;Cyrus;Filomena;Gniewek;Kalina;Karina;Olga
7,12,Andrzej;Bądzisław;Bruno;Brunon;Epifania;Euzebiusz;Feliks;Gwalbert
